Totoaba_Age,Weight_Totoaba_kg,Length_Totoaba,Weight_Buche_g,Target_Buche_Weight_g,Gamma,Cage_Capacity_kg,Number_Individuals,Cost_feed_kgyear
0.5,0.001998645,7.067712058,0.038884152,500,7.77683E-05,144000,72048797.6,144000
1,0.081333814,23.69571763,1.58236993,500,0.00316474,144000,1770481.338,288000
1.5,0.372399745,38.93594328,7.245131266,500,0.014490263,144000,386681.2525,432000
2,0.952538257,52.90421366,18.53187277,500,0.037063746,144000,151175.0305,576000
2.5,1.850192499,65.70668668,35.99596317,500,0.071991926,144000,77829.73936,720000
3,3.060741694,77.44066023,59.54750403,500,0.119095008,144000,47047.42,864000
3.5,4.558713426,88.19531171,88.69092305,500,0.177381846,144000,31587.85968,1008000
4,6.306696867,98.05237572,122.6983831,500,0.245396766,144000,22832.87163,1152000
4.5,8.261627852,107.0867653,160.7320601,500,0.32146412,144000,17429.979,1296000
5,10.37907407,115.3671411,201.9275119,500,0.403855024,144000,13874.06999,1440000
5.5,12.61603779,122.9564335,245.448207,500,0.490896414,144000,11414.04317,1584000
6,14.93268217,129.9123205,290.5191096,500,0.581038219,144000,9643.277634,1728000
6.5,17.2932915,136.2876665,336.4453614,500,0.672890723,144000,8326.928393,1872000
7,19.66669863,142.1309235,382.6205975,500,0.765241195,144000,7322.021998,2016000
7.5,22.02635234,147.4865,428.5282575,500,0.857056515,144000,6537.623559,2160000
8,24.35015081,152.395098,473.7383445,500,0.947476689,144000,5913.721075,2304000
8.5,26.62013192,156.8940224,517.9014013,500,1.035802803,144000,5409.43976,2448000
9,28.82208488,161.0174649,560.7409533,500,1.121481907,144000,4996.168758,2592000
9.5,30.94512756,164.7967632,602.0452859,500,1.204090572,144000,4653.398171,2736000
10,32.98127971,168.2606397,641.659141,500,1.283318282,144000,4366.113179,2880000
