"","beta","alpha","gamma","W","W1","W2","c","v","r","k","interest_rate","sigma","spec","transformation","identifier"
"1",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,12200,0.56945044999566,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"baseline","1",1
"2",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,1.8732668916645,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.5",2
"3",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,2.62257364833029,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.7",3
"4",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,3.74653378332899,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1",4
"5",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,4.87049391832769,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1.3",5
"6",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,5.61980067499348,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1.5",6
"7",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,11000,0.88195044999566,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 0.901639344262295  and  1.54877470024369",7
"8",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,11400,0.777783783328993,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 0.934426229508197  and  1.36584980016246",8
"9",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,11800,0.673617116662326,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 0.967213114754098  and  1.18292490008123",9
"10",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,12200,0.56945044999566,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 1  and  1",10
"11",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,12600,0.465283783328993,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 1.0327868852459  and  0.817075099918771",11
"12",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13000,0.361117116662326,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 1.0655737704918  and  0.634150199837542",12
"13",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13400,0.25695044999566,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 1.09836065573771  and  0.451225299756315",13
"14",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13800,0.152783783328993,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 1.13114754098361  and  0.268300399675086",14
"15",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,14200,0.0486171166623265,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W1 and W2","1 and 1.16393442622951  and  0.0853754995938576",15
