month,vessels,days_permonth,total_fleet_days_year,gearset_vessel_perday,totoaba_gearset,totoaba_day,totoaba_year,price_fishers_per_totoaba,foodfuel_day,gear_loss_day,gear_replacement,monthly_earnings_paid,crew_size,bribes_year
1,5,4,20,2,2,4,80,889.0883209,525,0.5,1600,0.75,4,600
2,20,12,240,3,3,9,2160,889.0883209,525,0.5,1600,0.75,4,7200
3,50,12,600,3,6,18,10800,889.0883209,525,0.5,1600,0.75,4,18000
4,50,16,800,3,6,18,14400,889.0883209,525,0.5,1600,0.75,4,24000
5,20,12,240,3,3,9,2160,889.0883209,525,0.5,1600,0.75,4,7200
6,5,4,20,2,2,4,80,889.0883209,525,0.5,1600,0.75,4,600
7,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,0,0,0,0,0,,0,0,0,0,0,0,0,0
12,0,0,0,0,0,,0,0,0,0,0,0,0,0
