"","params","value","concept","units"
"1","alpha",1625836.98199308,"Demand model : intercept","USD"
"2","beta",1563.75159261232,"Demand model : coefficient","USD/metric ton of biomass"
"3","r",0.201282685349239,"Intrinsic growth rate","unitless"
"4","k",20226,"Catchability","% of biomass/vessel trip"
"5","sigma",0.0000200307674145246,"Carrying capacity (in metric tons)","metric tons of biomass"
"6","W_mid",2.18368321924696,"Parameter cost (MC = Avg) at historical value - middle","USD"
"7","W_low",1.31543290586806,"Parameter cost (MC = Avg) at historical value - low","USD"
"8","W_high",3.74653378332899,"Parameter cost (MC = Avg) at historical value - high","USD"
"9","avg_cost",8385.34356190833,"Average cost per vessel trip","USD"
"10","age",4.5,"Age of farmed totoaba","Years"
"11","gamma",1407.37643335109,"Substitutability","Unitless"
"12","v",67034.45313,"Unit cost of farming","USD/metric ton of biomass"
"13","c",0,"Unit cost of trading","USD/ metric ton of biomass"
