"","value","index"
"1",0,0
"2",269671090589720165488406,1
"3",269633603032302818964068,2
"4",269596118080679510544088,3
"5",269558635734850307360620,4
"6",269521155994815142304600,5
"7",269483678860574082464602,6
"8",269446204332127060762642,7
"9",269408732409474110720062,8
"10",269371263092615232362462,9
"11",269333796381550425664842,10
"12",269296332276279690666602,11
"13",269258870776803027328042,12
"14",269221411883120435664862,13
"15",269183955595231882122020,14
"16",269146501913137433808800,15
"17",269109050836837023626028,16
"18",269071602366330718666268,17
"19",269034156501618451808466,18
"20",268996713242700256640024,19
"21",268959272589576133142682,20
"22",268921834542246081348200,21
"23",268884399100710101284808,22
"24",268846966264968159168264,23
"25",268809536035020322388842,24
"26",268772108410866523706248,25
"27",268734683392506830266286,26
"28",268697260979941174948662,27
"29",268659841173169591380008,28
"30",268622423972192079322844,29
"31",268585009377008639024260,30
"32",268547597387619270400066,31
"33",268510188004023973440842,32
"34",268472781226222748186088,33
"35",268435377054215561024202,34
"36",268397975488002479108008,35
"37",268360576527583435306682,36
"38",268323180172958463168226,37
"39",268285786424127596262482,38
"40",268248395281090767488086,39
"41",268211006743848010384660,40
"42",268173620812399324960624,41
"43",268136237486744677648646,42
"44",268098856766884135568660,43
"45",268061478652817665168064,44
"46",268024103144545232880426,45
"47",267986730242066872282848,46
"48",267949359945382616906202,47
"49",267911992254492399642684,48
"50",267874627169396254048466,49
"51",267837264690094180144208,50
"52",267799904816586177904440,51
"53",267762547548872213802620,52
"54",267725192886952354902422,53
"55",267687840830826567706684,54
"56",267650491380494818608204,55
"57",267613144535957141200804,56
"58",267575800297213569008426,57
"59",267538458664264034944086,58
"60",267501119637108572560026,59
"61",267463783215747181840646,60
"62",267426449400179862800646,61
"63",267389118190406581882084,62
"64",267351789586427406282444,63
"65",267314463588242302186484,64
"66",267277140195851236282282,65
"67",267239819409254242064040,66
"68",267202501228451353062420,67
"69",267165185653442502202248,68
"70",267127872684227723008066,69
"71",267090562320807015488244,70
"72",267053254563180379642022,71
"73",267015949411347781924628,72
"74",266978646865309289428866,73
"75",266941346925064835040442,74
"76",266904049590614485908020,75
"77",266866754861958174864666,76
"78",266829462739095935520682,77
"79",266792173222027801402200,78
"80",266754886310753705402286,79
"81",266717602005273681062242,80
"82",266680320305587694864646,81
"83",266643041211695813888062,82
"84",266605764723598004582448,83
"85",266568490841294233408202,84
"86",266531219564784567466648,85
"87",266493950894068939626462,86
"88",266456684829147383466246,87
"89",266419421370019898986400,88
"90",266382160516686486186644,89
"91",266344902269147145040868,90
"92",266307646627401875584082,91
"93",266270393591450677808266,92
"94",266233143161293518144288,93
"95",266195895336930463722442,94
"96",266158650118361447402424,95
"97",266121407505586502768406,96
"98",266084167498605663360080,97
"99",266046930097418862064022,98
"100",266009695302026132468424,99
"101",265972463112427474522826,100
"102",265935233528622854704266,101
"103",265898006550612340122608,102
"104",265860782178395897200440,103
"105",265823560411973492406220,104
"106",265786341251345192848622,105
"107",265749124696510931408862,106
"108",265711910747470741642082,107
"109",265674699404224623546282,108
"110",265637490666772577120462,109
"111",265600284535114602384622,110
"112",265563081009250699322262,111
"113",265525880089180867920882,112
"114",265488681774905074640840,113
"115",265451486066423386608420,114
"116",265414292963735736688448,115
"117",265377102466842158442466,116
"118",265339914575742651866844,117
"119",265302729290437216960822,118
"120",265265546610925853744260,119
"121",265228366537208562282088,120
"122",265191189069285342320406,121
"123",265154014207156194122884,122
"124",265116841950821084042020,123
"125",265079672300280079284868,124
"126",265042505255533112464064,125
"127",265005340816580217408240,126
"128",264968178983421427584028,127
"129",264931019756056675882664,128
"130",264893863134485995840880,129
"131",264856709118709353946844,130
"132",264819557708726817264420,131
"133",264782408904538352266086,132
"134",264745262706143925386080,133
"135",264708119113543603722006,134
"136",264670978126737320186060,135
"137",264633839745725108320404,136
"138",264596703970507001706460,137
"139",264559570801082933184264,138
"140",264522440237452936342648,139
"141",264485312279616977642480,140
"142",264448186927575124144224,141
"143",264411064181327342346048,142
"144",264373944040873598646220,143
"145",264336826506213960282004,144
"146",264299711577348359840246,145
"147",264262599254276831184848,146
"148",264225489536999374202440,147
"149",264188382425515988880622,148
"150",264151277919826675242664,149
"151",264114176019931433284206,150
"152",264077076725830262986808,151
"153",264039980037523164368800,152
"154",264002885955010103862240,153
"155",263965794478291148608202,154
"156",263928705607366231466602,155
"157",263891619342235385984082,156
"158",263854535682898612202442,157
"159",263817454629355910084282,158
"160",263780376181607279622002,159
"161",263743300339652720868802,160
"162",263706227103492233760682,161
"163",263669156473125784784800,162
"164",263632088448553441040040,163
"165",263595023029775135408228,164
"166",263557960216790935028428,165
"167",263520900009600772746086,166
"168",263483842408204682148604,167
"169",263446787412602663200222,168
"170",263409735022794715962200,169
"171",263372685238780840384268,170
"172",263335638060561002928284,171
"173",263298593488135270708222,172
"174",263261551521503576682088,173
"175",263224512160665987722086,174
"176",263187475405622436960422,175
"177",263150441256372957882228,176
"178",263113409712917550464024,177
"179",263076380775256214746800,178
"180",263039354443388950682666,179
"181",263002330717315758308802,180
"182",262965309597036637584608,181
"183",262928291082551555002282,182
"184",262891275173860577648448,183
"185",262854261870963638400082,184
"186",262817251173860770848686,185
"187",262780243082552008502202,186
"188",262743237597037284308866,187
"189",262706234717316631760800,188
"190",262669234443390050906824,189
"191",262632236775257508164206,190
"192",262595241712919070640280,191
"193",262558249256374704800644,192
"194",262521259405624377088066,193
"195",262484272160668121040848,194
"196",262447287521505970224262,195
"197",262410305488137857546004,196
"198",262373326060563816522846,197
"199",262336349238783847188048,198
"200",262299375022797949504240,199
"201",262262403412606123504022,200
"202",262225434408208335642642,201
"203",262188468009604652002264,202
"204",262151504216795008464844,203
"205",262114543029779469188046,204
"206",262077584448557968000086,205
"207",262040628473130538506006,206
"208",262003675103497180682006,207
"209",261966724339657894528086,208
"210",261929776181612680068046,209
"211",261892830629361537268486,210
"212",261855887682904432586264,211
"213",261818947342241433120664,212
"214",261782009607372471802022,213
"215",261745074478297615706882,214
"216",261708141955016797722680,215
"217",261671212037530051428868,216
"218",261634284725837376784646,217
"219",261597360019938773824884,218
"220",261560437919834242544022,219
"221",261523518425523782944620,220
"222",261486601537007361466286,221
"223",261449687254285045200844,222
"224",261412775577356767062460,223
"225",261375866506222594160488,224
"226",261338960040882459386464,225
"227",261302056181336396262420,226
"228",261265154927584404842466,227
"229",261228256279626485082882,228
"230",261191360237462636982268,229
"231",261154466801092827024622,230
"232",261117575970517122288468,231
"233",261080687745735489222804,232
"234",261043802126747894288088,233
"235",261006919113554371024862,234
"236",260970038706154952986628,235
"237",260933160904549573062862,236
"238",260896285708738264822066,237
"239",260859413118721028266640,238
"240",260822543134497829828282,239
"241",260785675756068736602826,240
"242",260748810983433715066440,241
"243",260711948816592731642022,242
"244",260675089255545853440006,243
"245",260638232300293013386028,244
"246",260601377950834244986440,245
"247",260564526207169548266442,246
"248",260527677069298923206804,247
"249",260490830537222369840266,248
"250",260453986610939888144088,249
"251",260417145290451478122400,250
"252",260380306575757106224260,251
"253",260343470466856839542042,252
"254",260306636963750611002262,253
"255",260269806066438454122462,254
"256",260232977774920402464664,255
"257",260196152089196388944824,256
"258",260159329009266447188464,257
"259",260122508535130576922684,258
"260",260085690666788744868662,259
"261",260048875404241018022242,260
"262",260012062747487362880202,261
"263",259975252696527745840200,262
"264",259938445251362234048220,263
"265",259901640411990760362688,264
"266",259864838178413358362646,265
"267",259828038550630028026464,266
"268",259791241528640769360882,267
"269",259754447112445582384260,268
"270",259717655302044467062028,269
"271",259680866097437389888244,270
"272",259644079498624417920082,271
"273",259607295505605484080248,272
"274",259570514118380655482046,273
"275",259533735336949864082682,274
"276",259496959161313146186288,275
"277",259460185591470499040484,276
"278",259423414627421923588060,277
"279",259386646269167419782026,278
"280",259349880516706987684662,279
"281",259313117370040627242668,280
"282",259276356829168304922642,281
"283",259239598894090087824608,282
"284",259202843564805908864042,283
"285",259166090841315801568446,284
"286",259129340723619765942220,285
"287",259092593211717802000684,286
"288",259055848305609909748428,287
"289",259019106005296089146262,288
"290",258982366310776340224066,289
"291",258945629222050662986240,290
"292",258908894739119023846482,291
"293",258872162861981489962626,292
"294",258835433590637994186808,293
"295",258798706925088570080480,294
"296",258761982865333217664042,295
"297",258725261411371936902064,296
"298",258688542563204727840686,297
"299",258651826320831590442668,298
"300",258615112684252524704640,299
"301",258578401653467530666602,300
"302",258541693228476574726002,301
"303",258504987409279690480482,302
"304",258468284195876911446864,303
"305",258431583588268170544204,304
"306",258394885586453501322024,305
"307",258358190190432903760824,306
"308",258321497400206377882604,307
