"","x","names","values","AC","W_mid","W1","W2","quantile","lag_sign","Stable"
"5",17184,"ss_bertrand",0.0615133559803098,14386.6897279833,3.74653378332899,11386.0166449458,1.6,1,2,"Stable"
"35",17184,"ss_bertrand",0.0615133559803098,14386.6897279833,3.74653378332899,11985.2806788904,1.3,1,2,"Stable"
"67",17184,"ss_bertrand",0.0615133559803098,14386.6897279833,3.74653378332899,13012.5904513667,0.75,1,2,"Stable"
"107",17184,"ss_bertrand",0.0615133559803098,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,2,"Stable"
"149",17184,"ss_bertrand",0.0615133559803098,14386.6897279833,3.74653378332899,14386.6897279833,0,1,2,"Stable"
"10",17259,"ss_monop",0.0348960699549821,14386.6897279833,3.74653378332899,11386.0166449458,1.6,1,2,"Stable"
"40",17259,"ss_monop",0.0348960699549821,14386.6897279833,3.74653378332899,11985.2806788904,1.3,1,2,"Stable"
"72",17259,"ss_monop",0.0348960699549821,14386.6897279833,3.74653378332899,13012.5904513667,0.75,1,2,"Stable"
"118",17259,"ss_monop",0.0348960699549821,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,2,"Stable"
"159",17259,"ss_monop",0.0348960699549821,14386.6897279833,3.74653378332899,14386.6897279833,0,1,2,"Stable"
"16",17278,"ss_bertrand_lq",0.0590285110192212,14386.6897279833,3.74653378332899,11386.0166449458,1.6,1,2,"Stable"
"46",17272.5,"ss_bertrand_lq",0.0358346635960061,14386.6897279833,3.74653378332899,11985.2806788904,1.3,1,2,"Stable"
"77",17261,"ss_bertrand_lq",0.0143690841338184,14386.6897279833,3.74653378332899,13012.5904513667,0.75,1,2,"Stable"
"112",17247.5,"ss_bertrand_lq",0.0372711711908664,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,2,"Stable"
"153",17244.5,"ss_bertrand_lq",0.00805977424619186,14386.6897279833,3.74653378332899,14386.6897279833,0,1,2,"Stable"
"21",17291.5,"ss_monop_lq",0.0658328109541912,14386.6897279833,3.74653378332899,11386.0166449458,1.6,1,2,"Stable"
"52",17289.5,"ss_monop_lq",0.0307139466791,14386.6897279833,3.74653378332899,11985.2806788904,1.3,1,2,"Stable"
"83",17286,"ss_monop_lq",0.0588090660431249,14386.6897279833,3.74653378332899,13012.5904513667,0.75,1,2,"Stable"
"96",660,"ss_monop_lq",0.0686190636067749,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,2,"Stable"
"101",2285.5,"ss_monop_lq",-0.0507211571821813,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,-2,"Unstable"
"124",17281.5,"ss_monop_lq",0.0398074076399553,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,2,"Stable"
"138",560,"ss_monop_lq",0.165550503066967,14386.6897279833,3.74653378332899,14386.6897279833,0,1,2,"Stable"
"142",2386,"ss_monop_lq",-0.002936050932135,14386.6897279833,3.74653378332899,14386.6897279833,0,1,-2,"Unstable"
"165",17280.5,"ss_monop_lq",0.0242377510410847,14386.6897279833,3.74653378332899,14386.6897279833,0,1,2,"Stable"
"25",18182,"ss_cournot",0.0256717359803815,14386.6897279833,3.74653378332899,11386.0166449458,1.6,1,2,"Stable"
"57",18182,"ss_cournot",0.0256717359803815,14386.6897279833,3.74653378332899,11985.2806788904,1.3,1,2,"Stable"
"87",18182,"ss_cournot",0.0256717359803815,14386.6897279833,3.74653378332899,13012.5904513667,0.75,1,2,"Stable"
"129",18182,"ss_cournot",0.0256717359803815,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,2,"Stable"
"170",18182,"ss_cournot",0.0256717359803815,14386.6897279833,3.74653378332899,14386.6897279833,0,1,2,"Stable"
"30",18228.5,"ss_cournot_lq",0.0429886161974764,14386.6897279833,3.74653378332899,11386.0166449458,1.6,1,2,"Stable"
"62",18228.5,"ss_cournot_lq",0.0389724188436276,14386.6897279833,3.74653378332899,11985.2806788904,1.3,1,2,"Stable"
"92",18228,"ss_cournot_lq",0.0268925246168692,14386.6897279833,3.74653378332899,13012.5904513667,0.75,1,2,"Stable"
"134",18227.5,"ss_cournot_lq",0.021758665177515,14386.6897279833,3.74653378332899,14232.5208061823,0.1,1,2,"Stable"
"176",18227.5,"ss_cournot_lq",0.0696382873625794,14386.6897279833,3.74653378332899,14386.6897279833,0,1,2,"Stable"
