"","x","names","values","lag_sign","row_params_sensitivity"
"1",1657,"ss_bertrand_lq",-0.0315892263586193,-2,1
"2",17063.5,"ss_bertrand_lq",0.0167278478064645,2,1
"3",17187,"ss_bertrand",0.0658057825756941,2,1
"4",17229.5,"ss_monop_lq",0.0399284108348184,2,1
"5",17259,"ss_monop",0.0348960699549821,2,1
"6",18207.5,"ss_cournot_lq",0.0545763762362412,2,1
"7",18228,"ss_cournot",0.00920116949924932,2,1
"8",1659.5,"ss_bertrand_lq",-0.0316482298984511,-2,2
"9",17063,"ss_bertrand_lq",0.039526915253532,2,2
"10",17187,"ss_bertrand",0.0658057825756941,2,2
"11",17229.5,"ss_monop_lq",0.0523527528014256,2,2
"12",17259,"ss_monop",0.0348960699549821,2,2
"13",18211,"ss_cournot_lq",0.0343926769160703,2,2
"14",18228,"ss_cournot",0.00920116949924932,2,2
"15",1617.5,"ss_bertrand_lq",-0.0038739564869843,-2,3
"16",17086.5,"ss_bertrand_lq",0.0423673518766918,2,3
"17",17187,"ss_bertrand",0.0658057825756941,2,3
"18",17235.5,"ss_monop_lq",0.0263886147000676,2,3
"19",17259,"ss_monop",0.0348960699549821,2,3
"20",18221,"ss_cournot_lq",0.051379827350388,2,3
"21",18228,"ss_cournot",0.00920116949924932,2,3
"22",653.5,"ss_monop_lq",0.0666771227088674,2,4
"23",2338,"ss_monop_lq",-0.0264547787974152,-2,4
"24",17235.5,"ss_monop_lq",0.0357141048656331,2,4
"25",1584.5,"ss_bertrand_lq",-0.000761404244940422,-2,4
"26",17086.5,"ss_bertrand_lq",0.0561366381097059,2,4
"27",17187,"ss_bertrand",0.0658057825756941,2,4
"28",17259,"ss_monop",0.0348960699549821,2,4
"29",18224.5,"ss_cournot_lq",0.0203438797836384,2,4
"30",18228,"ss_cournot",0.00920116949924932,2,4
"31",2694.5,"ss_monop_lq",0.0644331295562779,2,5
"32",2695,"ss_monop_lq",-0.000171713618044578,-2,5
"33",17241.5,"ss_monop_lq",0.00195515692496429,2,5
"34",738,"ss_cournot_lq",0.0232515618096727,2,5
"35",1254,"ss_cournot_lq",-0.0116848530735183,-2,5
"36",18234.5,"ss_cournot_lq",0.0228435739551287,2,5
"37",17111.5,"ss_bertrand_lq",0.0412819742269903,2,5
"38",17187,"ss_bertrand",0.0658057825756941,2,5
"39",17259,"ss_monop",0.0348960699549821,2,5
"40",18228,"ss_cournot",0.00920116949924932,2,5
"41",1432,"ss_bertrand_lq",-0.0360142070523466,-2,6
"42",17464,"ss_bertrand_lq",0.0345069840259384,2,6
"43",17229.5,"ss_monop_lq",0.0399284108348184,2,6
"44",17259,"ss_monop",0.0348960699549821,2,6
"45",17564.5,"ss_bertrand",0.0650323777883841,2,6
"46",18277.5,"ss_cournot_lq",0.0757599122296142,2,6
"47",18297,"ss_cournot",0.0230370200417838,2,6
"48",1424,"ss_bertrand_lq",-0.0398907116787086,-2,7
"49",17468,"ss_bertrand_lq",0.00297620668686704,2,7
"50",17229.5,"ss_monop_lq",0.0523527528014256,2,7
"51",17259,"ss_monop",0.0348960699549821,2,7
"52",17564.5,"ss_bertrand",0.0650323777883841,2,7
"53",18281,"ss_cournot_lq",0.019833963691724,2,7
"54",18297,"ss_cournot",0.0230370200417838,2,7
"55",1372.5,"ss_bertrand_lq",-0.060410760790603,-2,8
"56",17494.5,"ss_bertrand_lq",0.015220667933022,2,8
"57",17235.5,"ss_monop_lq",0.0263886147000676,2,8
"58",17259,"ss_monop",0.0348960699549821,2,8
"59",17564.5,"ss_bertrand",0.0650323777883841,2,8
"60",18291,"ss_cournot_lq",0.0169772946494504,2,8
"61",18297,"ss_cournot",0.0230370200417838,2,8
"62",653.5,"ss_monop_lq",0.0666771227088674,2,9
"63",2338,"ss_monop_lq",-0.0264547787974152,-2,9
"64",17235.5,"ss_monop_lq",0.0357141048656331,2,9
"65",1291.5,"ss_bertrand_lq",-0.0354572330558369,-2,9
"66",17500,"ss_bertrand_lq",0.0707258156094213,2,9
"67",17259,"ss_monop",0.0348960699549821,2,9
"68",17564.5,"ss_bertrand",0.0650323777883841,2,9
"69",18295,"ss_cournot_lq",0.0315250998340844,2,9
"70",18297,"ss_cournot",0.0230370200417838,2,9
"71",2694.5,"ss_monop_lq",0.0644331295562779,2,10
"72",2695,"ss_monop_lq",-0.000171713618044578,-2,10
"73",17241.5,"ss_monop_lq",0.00195515692496429,2,10
"74",927.5,"ss_cournot_lq",0.00533547542789847,2,10
"75",994.5,"ss_cournot_lq",-0.00564467592329265,-2,10
"76",18305,"ss_cournot_lq",0.014123063130171,2,10
"77",17259,"ss_monop",0.0348960699549821,2,10
"78",17528,"ss_bertrand_lq",0.04174586673156,2,10
"79",17564.5,"ss_bertrand",0.0650323777883841,2,10
"80",18297,"ss_cournot",0.0230370200417838,2,10
"81",1443.5,"ss_bertrand_lq",-0.0558405185669244,-2,11
"82",17443.5,"ss_bertrand_lq",0.0464638704430627,2,11
"83",17229.5,"ss_monop_lq",0.0399284108348184,2,11
"84",17259,"ss_monop",0.0348960699549821,2,11
"85",17545,"ss_bertrand",0.0611377883425916,2,11
"86",18273.5,"ss_cournot_lq",0.0208294053668965,2,11
"87",18293.5,"ss_cournot",0.0415895343912212,2,11
"88",1436,"ss_bertrand_lq",-0.0710664697919015,-2,12
"89",17447.5,"ss_bertrand_lq",0.0496342475356073,2,12
"90",17229.5,"ss_monop_lq",0.0523527528014256,2,12
"91",17259,"ss_monop",0.0348960699549821,2,12
"92",17545,"ss_bertrand",0.0611377883425916,2,12
"93",18277.5,"ss_cournot_lq",0.0482401224867317,2,12
"94",18293.5,"ss_cournot",0.0415895343912212,2,12
"95",1384.5,"ss_bertrand_lq",-0.045527048179224,-2,13
"96",17473.5,"ss_bertrand_lq",0.00846432325545265,2,13
"97",17235.5,"ss_monop_lq",0.0263886147000676,2,13
"98",17259,"ss_monop",0.0348960699549821,2,13
"99",17545,"ss_bertrand",0.0611377883425916,2,13
"100",18287.5,"ss_cournot_lq",0.0464559527488291,2,13
"101",18293.5,"ss_cournot",0.0415895343912212,2,13
"102",653.5,"ss_monop_lq",0.0666771227088674,2,14
"103",2338,"ss_monop_lq",-0.0264547787974152,-2,14
"104",17235.5,"ss_monop_lq",0.0357141048656331,2,14
"105",1305.5,"ss_bertrand_lq",-0.063297693521065,-2,14
"106",17478.5,"ss_bertrand_lq",0.0266212018344731,2,14
"107",17259,"ss_monop",0.0348960699549821,2,14
"108",17545,"ss_bertrand",0.0611377883425916,2,14
"109",18291.5,"ss_cournot_lq",0.0628592867375914,2,14
"110",18293.5,"ss_cournot",0.0415895343912212,2,14
"111",2694.5,"ss_monop_lq",0.0644331295562779,2,15
"112",2695,"ss_monop_lq",-0.000171713618044578,-2,15
"113",17241.5,"ss_monop_lq",0.00195515692496429,2,15
"114",895.5,"ss_cournot_lq",0.00299532484007159,2,15
"115",1029.5,"ss_cournot_lq",-0.00223080947230869,-2,15
"116",18301.5,"ss_cournot_lq",0.0465389354301919,2,15
"117",17259,"ss_monop",0.0348960699549821,2,15
"118",17506.5,"ss_bertrand_lq",0.0191902538942372,2,15
"119",17545,"ss_bertrand",0.0611377883425916,2,15
"120",18293.5,"ss_cournot",0.0415895343912212,2,15
"121",1536,"ss_bertrand_lq",-0.0166765489370277,-2,16
"122",17277,"ss_bertrand_lq",0.0551185787296049,2,16
"123",17229.5,"ss_monop_lq",0.0399284108348184,2,16
"124",17259,"ss_monop",0.0348960699549821,2,16
"125",17387.5,"ss_bertrand",0.0371950648444681,2,16
"126",18244.5,"ss_cournot_lq",0.0795345364586524,2,16
"127",18264.5,"ss_cournot",0.0352612637516359,2,16
"128",1532.5,"ss_bertrand_lq",-0.0513428111765393,-2,17
"129",17279,"ss_bertrand_lq",0.0521359789332791,2,17
"130",17229.5,"ss_monop_lq",0.0523527528014256,2,17
"131",17259,"ss_monop",0.0348960699549821,2,17
"132",17387.5,"ss_bertrand",0.0371950648444681,2,17
"133",18248,"ss_cournot_lq",0.0404669206587869,2,17
"134",18264.5,"ss_cournot",0.0352612637516359,2,17
"135",1484.5,"ss_bertrand_lq",-0.0600230013241685,-2,18
"136",17304,"ss_bertrand_lq",0.0369286305939909,2,18
"137",17235.5,"ss_monop_lq",0.0263886147000676,2,18
"138",17259,"ss_monop",0.0348960699549821,2,18
"139",17387.5,"ss_bertrand",0.0371950648444681,2,18
"140",18258,"ss_cournot_lq",0.0469762670235809,2,18
"141",18264.5,"ss_cournot",0.0352612637516359,2,18
"142",653.5,"ss_monop_lq",0.0666771227088674,2,19
"143",2338,"ss_monop_lq",-0.0264547787974152,-2,19
"144",17235.5,"ss_monop_lq",0.0357141048656331,2,19
"145",1422,"ss_bertrand_lq",-0.0595267454224313,-2,19
"146",17307,"ss_bertrand_lq",0.0679120131990203,2,19
"147",17259,"ss_monop",0.0348960699549821,2,19
"148",17387.5,"ss_bertrand",0.0371950648444681,2,19
"149",18262,"ss_cournot_lq",0.0782113056642402,2,19
"150",18264.5,"ss_cournot",0.0352612637516359,2,19
"151",2694.5,"ss_monop_lq",0.0644331295562779,2,20
"152",2695,"ss_monop_lq",-0.000171713618044578,-2,20
"153",17241.5,"ss_monop_lq",0.00195515692496429,2,20
"154",799.5,"ss_cournot_lq",0.0354638970882775,2,20
"155",1155.5,"ss_cournot_lq",-0.00579884337670933,-2,20
"156",18272,"ss_cournot_lq",0.0702554234209742,2,20
"157",17259,"ss_monop",0.0348960699549821,2,20
"158",17333.5,"ss_bertrand_lq",0.0211958595754709,2,20
"159",17387.5,"ss_bertrand",0.0371950648444681,2,20
"160",18264.5,"ss_cournot",0.0352612637516359,2,20
"161",1560,"ss_bertrand_lq",-0.0569631099245385,-2,21
"162",17234.5,"ss_bertrand_lq",0.00996877309296451,2,21
"163",17229.5,"ss_monop_lq",0.0399284108348184,2,21
"164",17259,"ss_monop",0.0348960699549821,2,21
"165",17347.5,"ss_bertrand",0.00378803254807281,2,21
"166",18237,"ss_cournot_lq",0.0562015910750233,2,21
"167",18257.5,"ss_cournot",0.07691413619375,2,21
"168",1557,"ss_bertrand_lq",-0.00363261987683927,-2,22
"169",17236,"ss_bertrand_lq",0.00916982594969795,2,22
"170",17229.5,"ss_monop_lq",0.0523527528014256,2,22
