"","identifier","names","names_2","x","values","lag_sign","Stable","beta","alpha","gamma","W","W1","W2","c","v","r","k","interest_rate","sigma","spec","transformation","id_2"
"1",1,"ss_bertrand_lq","ss_bertrand_lq1",17261,0.0143690841338184,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"baseline","1",1
"2",1,"ss_monop_lq","ss_monop_lq1",17286,0.0588090660431249,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"baseline","1",1
"3",1,"ss_cournot_lq","ss_cournot_lq1",18228,0.0268925246168692,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"baseline","1",1
"4",2,"ss_bertrand_lq","ss_bertrand_lq1",17073,0.049000414345187,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,1.8732668916645,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.5",1
"5",2,"ss_monop_lq","ss_monop_lq1",17223.5,0.0346889707652736,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,1.8732668916645,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.5",1
"6",2,"ss_cournot_lq","ss_cournot_lq1",18157,0.0716614090760004,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,1.8732668916645,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.5",1
"7",3,"ss_bertrand_lq","ss_bertrand_lq1",17118.5,0.0227405788031092,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,2.62257364833029,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.7",1
"8",3,"ss_monop_lq","ss_monop_lq1",17238,0.0576572369226369,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,2.62257364833029,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.7",1
"9",3,"ss_cournot_lq","ss_cournot_lq1",18167,0.0384640023210636,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,2.62257364833029,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","0.7",1
"10",4,"ss_bertrand_lq","ss_bertrand_lq1",17184,0.0615133559803098,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,3.74653378332899,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1",1
"11",4,"ss_monop_lq","ss_monop_lq1",17259,0.0348960699550389,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,3.74653378332899,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1",1
"12",4,"ss_cournot_lq","ss_cournot_lq1",18182,0.0256717359803247,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,3.74653378332899,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1",1
"13",5,"ss_bertrand_lq","ss_bertrand_lq1",17245.5,0.0422377567236936,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,4.87049391832769,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1.3",1
"14",5,"ss_monop_lq","ss_monop_lq1",17280,0.0703072211335325,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,0,4.87049391832769,0,89929.9153285874,0.201282685349239,20226,0.1,0.0000200307674145246,"W - quadratic","1.3",1
